date,CPI(%)
1998-01-01,5.3229665071772665
1998-02-01,4.251012145749125
1998-03-01,5.395462906192514
1998-04-01,5.696721311475424
1998-05-01,5.508908457915191
1998-06-01,4.573295222539649
1998-07-01,3.299856527976937
1998-08-01,5.079559363525053
1998-09-01,6.146380913869802
1998-10-01,5.751316322397719
1998-11-01,4.487052777228616
1998-12-01,3.935633966653699
1999-01-01,2.9907249668748728
1999-02-01,3.223300970873661
1999-03-01,3.917006011246651
1999-04-01,2.7723924001552045
1999-05-01,3.8819875776398014
1999-06-01,3.826630222569432
1999-07-01,3.452380952380859
1999-08-01,2.038439138031579
1999-09-01,1.7904761904762339
1999-10-01,1.6468785905783343
1999-11-01,1.1350737797956845
1999-12-01,1.2124603618729235
2000-01-01,2.242234883293434
2000-02-01,2.4266365688488296
2000-03-01,1.6607576040306684
2000-04-01,0.9243538954913324
2000-05-01,-0.48579970104633213
2000-06-01,-1.1846558856713956
2000-07-01,-0.6137322593017103
2000-08-01,0.0
2000-09-01,-0.9730538922155576
2000-10-01,-0.3956292388847391
2000-11-01,0.2805836139168404
2000-12-01,0.12900847769982884
2001-01-01,-1.1324824734855963
2001-02-01,-0.23875114784204418
2001-03-01,0.8259911894274358
2001-04-01,2.242990654205624
2001-05-01,5.2572286894480476
2001-06-01,6.546146527117212
2001-07-01,6.310304901582343
2001-08-01,5.346270928462644
2001-09-01,5.272108843537306
2001-10-01,5.920181577454066
2001-11-01,7.274762171236733
2001-12-01,7.546475243880009
2002-01-01,6.218181818181923
2002-02-01,6.296023564064641
2002-03-01,4.42381212452208
2002-04-01,3.107861060329046
2002-05-01,0.4102747056724196
2002-06-01,-0.8930166101090262
2002-07-01,0.14521691777081133
2002-08-01,0.07224128589484448
2002-09-01,0.30515167833431056
2002-10-01,-0.3928571428572009
2002-11-01,-0.6607546513649409
2002-12-01,-1.5403046380283618
2003-01-01,-2.139678192399986
2003-02-01,-0.7793557325943741
2003-03-01,-1.046025104602527
2003-04-01,0.9042553191489031
2003-05-01,3.0911351927517363
2003-06-01,4.739592719408878
2003-07-01,2.9545042595614497
2003-08-01,4.060638873849504
2003-09-01,4.885468861846866
2003-10-01,5.485837217640787
2003-11-01,5.233677577454973
2003-12-01,3.9457674256910056
2004-01-01,6.209550463529819
2004-02-01,4.157793681270797
2004-03-01,6.428823114869581
2004-04-01,5.482340537691126
2004-05-01,3.78252627951058
2004-06-01,2.1627666896077096
2004-07-01,2.9612676056337794
2004-08-01,1.652792230315702
2004-09-01,3.443098447363957
2004-10-01,3.1016315431679353
2004-11-01,1.6683300066533961
2004-12-01,1.9866220735785471
2005-01-01,2.9479578392623234
2005-02-01,5.336936133390921
2005-03-01,4.533100557141387
2005-04-01,5.537691798108093
2005-05-01,3.7662537101849414
2005-06-01,4.918626900672334
2005-07-01,5.807240721561466
2005-08-01,5.208270543387438
2005-09-01,1.619402372047913
2005-10-01,2.0459023992727134
2005-11-01,1.2080833986263562
2005-12-01,2.2113722949457926
2006-01-01,0.626118067978469
2006-02-01,-0.2401707881159366
2006-03-01,0.2833362847529122
2006-04-01,0.9707881034331222
2006-05-01,2.165160597655898
2006-06-01,2.0732364028001626
2006-07-01,2.005963675792935
2006-08-01,3.2731888657176236
2006-09-01,4.13830656139391
2006-10-01,4.642341040462438
2006-11-01,4.09436008676788
2006-12-01,3.83890931922139
2007-01-01,2.373333333333379
2007-02-01,3.308069549710132
2007-03-01,3.063747130496277
2007-04-01,1.599510532296115
2007-05-01,1.3311148086523457
2007-06-01,3.2796975292358677
2007-07-01,4.801133847107728
2007-08-01,4.372256365232655
2007-09-01,5.403050108932521
2007-10-01,4.928361815984831
2007-11-01,4.818963271685322
2007-12-01,4.802625896173394
2008-01-01,4.532430320395919
2008-02-01,4.79889521836694
2008-03-01,5.868242953824958
2008-04-01,6.340330350997954
2008-05-01,6.663209748509182
2008-06-01,4.11203814064366
2008-07-01,2.6033302341306808
2008-08-01,4.576043068640705
2008-09-01,4.671351798263705
2008-10-01,4.145759644649113
2008-11-01,5.210404241219324
2008-12-01,4.8627709552461456
2009-01-01,5.473876567821253
2009-02-01,6.168670729698576
2009-03-01,5.599611587635553
2009-04-01,5.824771458619769
2009-05-01,3.5812672176308125
2009-06-01,4.873660969825778
2009-07-01,7.2905511162368954
2009-08-01,6.499356499356418
2009-09-01,5.813586097946252
2009-10-01,6.0184819524524755
2009-11-01,5.944413825683062
2009-12-01,5.753360056590347
2010-01-01,5.150417388565146
2010-02-01,4.150182297727138
2010-03-01,3.670498084291181
2010-04-01,2.461585505695306
2010-05-01,6.273466833541994
2010-06-01,6.105263157894816
2010-07-01,3.9619164619165
2010-08-01,3.9577039274927546
2010-09-01,2.478351746789665
2010-10-01,2.81606198316328
2010-11-01,3.425980975030094
2010-12-01,2.727610553697927
2011-01-01,3.5724985020965203
2011-02-01,3.4783256368236724
2011-03-01,3.4370611279469645
2011-04-01,4.536297843766572
2011-05-01,3.8789930811131823
2011-06-01,3.6890064667840643
2011-07-01,5.221565731167402
2011-08-01,5.717814588782511
2011-09-01,5.128205128205262
2011-10-01,5.463372219404395
2011-11-01,4.922037795501991
2011-12-01,5.158443061785074
2012-01-01,7.534890447610583
2012-02-01,9.342834520982663
2012-03-01,10.125768186366248
2012-04-01,10.977089429733496
2012-05-01,8.977538439736353
2012-06-01,8.6746987951809
2012-07-01,8.20523619007458
2012-08-01,7.188509380797689
2012-09-01,8.716740576497207
2012-10-01,9.893507385778308
2012-11-01,8.087933159840501
2012-12-01,9.03336773305835
2013-01-01,7.813865913523321
2013-02-01,5.3847672964246796
2013-03-01,4.412432677957579
2013-04-01,3.0612901151200584
2013-05-01,3.452535760728033
2013-06-01,4.48676144515419
2013-07-01,3.5158277114690786
2013-08-01,3.2762710777719417
2013-09-01,2.173358827278353
2013-10-01,0.12503907471098794
2013-11-01,0.6589368307676381
2013-12-01,1.1484098939926972
2014-01-01,0.6673735420693873
2014-02-01,0.5621837716286301
2014-03-01,0.8638369274749246
2014-04-01,0.6801872074884706
2014-05-01,1.709509144616867
2014-06-01,2.79615528648169
2014-07-01,3.32121819776882
2014-08-01,2.7253538614355493
2014-09-01,3.942361674255919
2014-10-01,6.125507336871509
2014-11-01,6.388871404292967
2014-12-01,5.252651278852057
2015-01-01,4.653035935563402
2015-02-01,5.596620908131122
2015-03-01,5.489833641404463
2015-04-01,5.764224618817195
2015-05-01,5.888895754804767
2015-06-01,4.517304189434846
2015-07-01,3.699660359049226
2015-08-01,4.4600229648874405
2015-09-01,6.103342735402199
2015-10-01,3.5949635208279602
2015-11-01,3.419713643355176
2015-12-01,4.362256993836073
